depth_um,Cr_wt_pct
-0.108,3.625
0.921,7.739
1.95,12.502
2.979,15.317
4.009,15.968
5.038,16.293
6.013,16.511
7.096,16.458
8.072,16.351
9.047,16.622
10.076,16.732
11.051,16.625
12.08,16.517
13.001,16.573
14.139,16.52
15.168,16.683
16.143,16.738
17.172,16.739
18.147,16.957
19.177,16.687
20.206,16.689
21.073,16.852
23.131,16.529
24.269,16.314
22.156,16.799
25.298,21.51
26.273,16.533
27.302,16.426
28.223,16.535
29.307,16.861
30.282,16.916
31.257,16.809
32.34,16.594
33.315,16.595
34.345,15.405
35.428,12.43
36.349,10.754
37.432,14.38
38.407,16.221
39.491,16.709
40.412,16.656
41.441,16.874
42.362,16.767
43.391,16.714
44.475,16.823
45.558,16.987
46.533,16.988
47.562,16.935
48.537,16.936
49.567,17.045
