depth_um,Cr_wt_pct
0.0,1.187
1.17,5.479
3.029,6.814
4.301,7.704
6.259,8.595
8.017,12.297
9.683,11.264
11.346,13.338
13.106,15.709
14.669,19.262
16.336,16.602
18.0,17.789
19.763,17.496
21.426,18.682
23.092,17.206
24.757,17.505
26.42,18.248
27.989,16.772
29.848,17.958
31.316,18.257
33.175,19.888
34.84,19.595
36.607,16.944
38.072,18.713
39.739,16.645
41.403,16.652
43.166,18.134
44.829,18.729
46.591,14.864
49.725,18.143
51.489,16.815
53.252,16.67
54.914,18.744
56.579,19.339
58.245,17.271
59.91,17.57
61.671,18.461
63.337,17.281
65.0,19.355
66.567,18.618
68.525,18.77
70.093,17.589
71.759,16.707
73.325,16.705
74.99,16.119
76.752,17.601
78.517,14.942
79.985,15.832
