depth_um,Cr_wt_pct
0.01,0.984
0.996,3.866
2.133,5.782
3.098,6.552
4.219,6.839
5.179,7.072
6.216,7.037
7.255,7.198
8.292,7.109
9.33,7.11
10.368,7.182
10.368,7.182
11.405,7.075
12.362,7.058
13.559,6.969
14.518,7.166
15.477,7.274
16.514,7.185
17.632,7.222
18.587,7.007
19.546,7.061
20.665,7.223
21.622,7.152
22.66,7.17
23.857,7.189
24.655,7.189
25.772,7.154
26.81,7.155
27.849,7.298
28.886,7.263
29.843,7.174
31.04,7.121
31.918,7.086
33.037,7.229
34.074,7.158
35.032,7.23
36.07,7.231
37.028,7.267
38.224,7.107
39.182,7.179
40.141,7.269
41.258,7.234
44.37,7.164
42.295,7.145
43.253,7.217
45.408,7.164
46.366,7.236
47.404,7.255
48.442,7.273
49.478,7.13
50.437,7.256
51.633,7.167
52.592,7.204
53.628,7.115
54.668,7.276
55.625,7.259
56.662,7.134
57.701,7.296
58.817,7.153
59.775,7.208
60.813,7.172
61.851,7.262
62.808,7.173
63.926,7.245
64.964,7.282
66.001,7.21
66.96,7.3
67.997,7.211
69.114,7.176
